ID,MIASTO,KOD_POCZTOWY,ULICA,NR_BUDYNKU,NR_LOKALU
1,Laliny,18-374,Wspolna,812,
2,Barcin,89-819,Deszczowa,589,
3,Bagniewko,37-366,Topolowa,742,5
4,Krakowice,13-840,Wakacyjna,469,90
5,Laseczno,29-401,Spokojna,694,
6,Lubczyno,60-389,Zeglarska,704,76
7,Laskownica,70-561,Jabloniowa,328,71
8,Lubiaszów,89-144,Podmiejska,661,3
9,Banino,92-365,Jodlowa,112,
10,Ladorudz,97-535,Daleka,32,
11,Gorzykowo,87-756,Zarnowiecka,603,25
12,Langanki,22-867,Akacjowa,131,76
13,Bagnica,11-417,Owsiana,791,77
14,Bagno,91-763,Slowikow,374,96
15,Lasaki,49-702,Krawiecka,970,
16,Antonów,17-991,Jasna,345,
17,Grabianowo,98-843,Pogodna,510,25
18,Antonielów,62-626,Deszczowa,922,
19,Baczyn,63-873,Strefowa,577,54
20,Leszczynki,54-510,Zefirowa,958,
21,Bachorce,41-169,Poziomkowa,249,
22,Bajkowizna,46-556,Pszeniczna,960,71
23,Kramarzyny,53-369,Sanatoryjna,658,59
24,Krzesimowo,95-555,Czeresniowa,602,
25,Lalin,58-733,Sportowa,714,60
26,Grabek,85-233,Malownicza,426,
27,Kupimierz,15-991,Wrzosow,549,44
28,Barcin,21-152,Wedrowna,400,
29,Balewko,96-801,Biwakowa,628,59
30,Grabianka,32-135,Syrenki,270,
31,Lafajetowo,54-363,Zbozowa,665,
32,Antonina,42-410,Olchowa,659,42
33,Krakowiany,25-774,Pocztowa,187,29
34,Antoninek,52-409,Tkacka,461,
35,Bagdad,17-188,Brzozowa,312,19
36,Godziszewy,33-230,Wspolna,435,48
37,Adamówek,26-443,Daktylowa,360,
38,Rogalino,73-342,Podmiejska,673,92
39,Bagdad,91-952,Lniana,649,
40,Grabarka,88-667,Ziemowita,864,
41,Antonowo,82-660,Spacerowa,532,
42,Luberadz,92-549,Ksiezycowa,622,
43,Bagrowo,82-677,Mlodosci,445,46
44,Leszczyniak,81-424,Malownicza,240,
45,Adaminowo,63-228,Rumiank�w,653,55
46,Barankowo,62-503,Harcerska,734,
47,Banachy,37-214,Szpitalna,901,
48,Balice,40-356,Solecka,201,69
49,Baranówka,95-805,Azaliowa,374,
50,Balewko,98-747,Macierzy,443,
51,Gorzuchów,32-123,Jasminowa,166,
52,Krzepiszyn,97-823,Malownicza,147,79
53,Bachmackie,30-858,Jarzebinowa,683,
54,Bale,58-912,Tatarakow,614,
55,Kupin,33-193,Harcerska,418,
56,Balice,18-842,Mahoniowa,137,4
57,Ladorudz,50-262,Lniana,639,
58,Adampol,50-486,Tradycji,181,
59,Bagieniec,78-125,Owsiana,30,
60,Bandrów,13-720,Szkolna,742,
61,Leszczyniec,65-137,Pszeniczna,673,
62,Laska,54-408,Mirtowa,427,90
63,Bagatele,28-347,Nagietkow,554,48
64,Balczewo,26-167,Debowa,531,28
65,Adamki,26-410,Diamentowa,259,79
66,Barchów,66-105,Tkacka,562,
67,Rogalów,43-257,Zwyciestwa,132,
68,Lubaty,33-823,Letnia,216,
69,Rogalinko,24-800,Zorzy,466,
70,Annówka,23-660,Pszeniczna,796,
71,Balnica,39-954,Alabastrowa,803,
72,Kramsk,92-312,Saperow,638,
73,Baczki,19-876,Bursztynowa,456,
74,Barcza,64-294,Daktylowa,241,4
75,Antonowo,59-745,Zlotych Klosow,316,
76,Gorzkowiczki,96-558,Liliowa,440,
77,Annówka,40-740,Rybacka,992,
78,Barany,73-997,Zwirowa,594,91
79,Rogieniczki,93-481,Syrenki,842,
80,Bagno,14-425,Strefowa,875,60
81,Lacka,30-251,Bzow,488,90
82,Baliki,74-743,Wedrowna,246,
83,Baranowice,83-188,Slowikow,790,79
84,Adamowizna,51-445,Projektantow,490,
85,Baranowiec,92-903,Zytnia,281,53
86,Antonie,79-301,Wrzosow,862,
87,Ladzin,26-354,Deszczowa,734,
88,Balcarzowice,82-687,Szpitalna,777,58
89,Barbarka,74-314,Zielone Wzgorze,578,89
90,Gorzuchowo,46-425,Wrzesniowa,44,15
91,Lamki,57-873,Biwakowa,959,
92,Lubianka,81-159,Solecka,72,
93,Antolka,40-384,Jabloniowa,335,24
94,Krzepiszyn,51-986,Jodlowa,815,
95,Krzemykowo,50-637,Widokowa,223,
96,Balków,96-569,Azaliowa,513,
97,Bandrów,95-560,Brzozowa,818,14
98,Bagicz,48-222,Zacisze,909,
99,Lubatowa,14-120,Sezamkowa,957,
100,Lanckorona,60-552,Poziomkowa,895,
101,Adamowa,20-667,Wypoczynkowa,678,
102,Bagno,69-568,Jasminowa,609,
103,Landzmierz,31-648,Polnocna,394,14
104,Barciszewo,38-799,Rozana,292,67
105,Krakowice,92-788,Krokusow,582,65
106,Bachów,36-185,Zefirowa,340,
107,Adamowo,51-843,Krotka,426,
108,Bagatelka,89-345,Paproci,372,
109,Baligród,34-944,Topolowa,772,
110,Lamkowizna,82-858,Szpitalna,867,
111,Baciuty,97-282,Rycerska,901,
112,Antoniewice,99-150,Harcerska,104,
113,Rogawica,50-186,Krakowska,963,
114,Balinka,54-214,Wrzesniowa,631,
115,Antonów,87-115,Widokowa,516,28
116,Leszkomin,50-507,Slaska,983,
117,Bachorzyn,82-706,Jasna,839,73
118,Kupienin,47-497,Olchowa,486,
119,Baranów,27-976,Spokojna,70,91
120,Bagatela,25-972,Krotka,320,43
121,Kupientyn,14-595,Tkacka,12,69
122,Baczków,89-498,Rumiank�w,265,
123,Adamowa,13-398,Smiala ,591,
124,Landzmierz,21-513,Czeresniowa,225,96
125,Krzepiszyn,95-907,Kwiatowa,772,88
126,Baniewice,27-477,Zefirowa,550,
127,Bachury,96-931,Debowa,263,
128,Badów,80-174,Jachtowa,777,
129,Krakowice,17-437,Jodlowa,568,10
130,Ladzin,32-890,Wodnika,210,25
131,Antoniewko,85-876,Wierzbowa,102,32
132,Barcie,18-592,Zacisze,480,60
133,Lubasz,25-812,Macierzy,911,47
134,Rogalin,34-160,Pocztowa,816,
135,Kupno,44-396,Dworcowa,291,
136,Krzepiszyn,95-262,Ptasia,441,
137,Barcino,70-315,Kasztanowa,451,
138,Leszczyna,61-974,Promowa,644,
139,Lubianka,42-345,Mlynska,596,22
140,Landek,24-827,Polna,342,58
141,Baran,95-449,Zurawinowa,961,
142,Lubcz,54-161,Szeroka,555,6
143,Antoniew,17-204,Wodnika,547,
144,Lady,95-762,Jeziorna,5,
145,Leszczynki,54-667,Zgoda,546,
146,Baniewice,68-327,Rumiank�w,557,19
147,Rogalik,74-838,Gwiezdna,596,72
148,Antoniówka,89-700,Krotka,744,37
149,Kupimierz,25-363,Paproci,396,76
150,Kranów,59-190,Zurawinowa,60,71
151,Kramarzówka,37-313,Lniana,380,
152,Kranek,17-847,Tychowska,518,81
153,Barcie,17-922,Polnocna,496,55
154,Antoniki,77-148,Zurawinowa,60,85
155,Antonina,30-508,Golebia,91,19
156,Barchlin,26-450,Rycerska,969,
157,Rogalice,90-974,Pszeniczna,546,
158,Bagniewo,31-308,Limbowa,639,
159,Antoniewo,90-177,Przepiorek,695,
160,Bachorzyn,20-114,Niezapominajek,594,
161,Krakuszowice,61-263,Slupska,200,35
162,Baraki,97-198,Czeremchowa,411,48
163,Godziszewy,71-595,Jagodowa,314,
164,Barciszewo,57-227,Krakowska,599,
165,Grabianów,73-920,Rzeczna,976,78
166,Grabianowo,51-647,Zielone Wzgorze,26,
167,Bagienice,97-788,Lakowa,467,84
168,Bacze,17-419,Krotka,912,
169,Lamkowo,25-334,Letnia,733,30
170,Lasek,93-123,Wesola,990,38
171,achanowo,69-879,Cisowa,451,
172,Antoniew,44-619,Bajkowa,13,34
173,Antoniew,69-763,Sadowa,651,
174,Adamowo,70-868,Solecka,90,
175,Krakówek,87-524,Szmaragdowa,578,
176,Lamkowizna,52-678,Zlota,327,
177,Barcikowo,27-314,Orzechowa,862,
178,Bagniuki,64-400,Sarzynska,512,96
179,Lafajetowo,86-128,Daktylowa,566,
180,Krzemykowo,87-693,Jagodowa,831,
181,Bajkowizna,15-730,Saperow,880,
182,Adaminowo,13-259,Wypoczynkowa,657,
183,Adampol,63-165,Saperow,481,33
184,Bachury,66-659,Nadbrzezna,253,84
185,Adamierz,63-505,Kra�cowa,149,16
186,Gorzyczany,18-313,Przyjazni,323,5
187,Lubiana,30-282,Hebanowa,481,8
188,Laskowice,22-137,Szpitalna,495,
189,Lubianek,57-494,Swiatowida,747,
190,Bajkowizna,30-534,Daleka,960,
191,Abramy,55-165,Prosta,722,
192,Antonowo,17-145,Blekitna,699,
193,Ladeniska,60-169,Mlynska,238,
194,Lubianek,54-353,Daktylowa,44,
195,Kupienin,36-183,Slonecznikow,289,
196,Gorzyczany,40-447,Nagietkow,391,
197,Balków,21-544,Kalinowa,459,67
