ID,ADRES_ID,NAZWA,IMIE,NAZWISKO,NIP
1,1,,Apolinary,Gorczyca,
2,2,,Bolesław,Sztark,
3,3,,Olgierd,Bielec,
4,4,,Narcyz,Babiański,
5,5,,Emanuel,Zończyk-Bohusz,
6,6,Antoni Pohorecki z o.o.,Antoni,Pohorecki,5572381339
7,7,,Władysław,Parfianowicz,
8,8,,Bazyli,Wagner,
9,9,Antoni Hecht z o.o.,Antoni,Hecht,8496103773
10,10,Antoni Dukiet z o.o.,Antoni,Dukiet,1394072021
11,11,Tadeusz Brzoza-Brzezina z o.o.,Tadeusz,Brzoza-Brzezina,2957558205
12,12,Felicjan Bogaczewicz z o.o.,Felicjan,Bogaczewicz,5510306065
13,13,Walery Bydliński z o.o.,Walery,Bydliński,1682836786
14,14,,Emilian,Ostrowski,
15,15,,Zenon,Orlewicz,
16,16,,Fryderyk,Kaseja,
17,17,Ludwik Niesobski z o.o.,Ludwik,Niesobski,3832490920
18,18,,Otton,Bydliński,
19,19,,Feliks,Orłowski,
20,20,,Antoni,Psarski,
21,21,,Filip,Robakiewicz,
22,22,,Korneliusz,Hubicki,
23,23,,Ignacy,Kuropieska,
24,24,,Zygfryd,Kurka,
25,25,Zbigniew Pileski z o.o.,Zbigniew,Pileski,2436970244
26,26,,Erwin,Dulęba,
27,27,Lech Chełchowski z o.o.,Lech,Chełchowski,1840355595
28,28,Jędrzej Wagner z o.o.,Jędrzej,Wagner,1703673391
29,29,Emanuel Getter z o.o.,Emanuel,Getter,6643202610
30,30,,Bazyli,Wartha,
31,31,,Wacław,Kaseja,
32,32,,Anastazy,Bielak,
33,33,,Osman,Stasiaczek,
34,34,,Gerard,Kołłątaj-Srzednicki,
35,35,Dobiesław Maresz z o.o.,Dobiesław,Maresz,3545079318
36,36,,Albert,Noël,
37,37,,Michał,Romiszewski,
38,38,Piotr Culic z o.o.,Piotr,Culic,1316852924
39,39,Julian Wójcik z o.o.,Julian,Wójcik,3489441031
40,40,,Walery,Kaczyński,
41,41,Chrystian Sopoćko z o.o.,Chrystian,Sopoćko,6479128327
42,42,Andrzej Piniecki z o.o.,Andrzej,Piniecki,9087446154
43,43,,Wincenty,Cegielski,
44,44,Wilhelm Bartak z o.o.,Wilhelm,Bartak,1961608426
45,45,,Janusz,Kayzer,
46,46,Cezary Okulski z o.o.,Cezary,Okulski,7721173831
47,47,,Zygmunt,Ginsbert,
48,48,,Brunon,Biestek,
49,49,,Otton,Morawski,
50,50,,Wilhelm,Chwalibóg,
51,51,Bolesław Bianchi z o.o.,Bolesław,Bianchi,8369100374
52,52,,Felicjan,Samójłowicz-Salamonowicz,
53,53,Lesław Bianchi z o.o.,Lesław,Bianchi,5889121345
54,54,,Euzebiusz,Janowski,
55,55,,Fuad,Gawlik,
56,56,Plato Beranek z o.o.,Plato,Beranek,6350012116
57,57,Rudolf Kusiak z o.o.,Rudolf,Kusiak,6228447724
58,58,Tytus Czerkawski z o.o.,Tytus,Czerkawski,5363737687
59,59,,Mieczysław,Donimirski,
60,60,Kanty Brzezowski z o.o.,Kanty,Brzezowski,8823801444
61,61,Gabriel Demkowski z o.o.,Gabriel,Demkowski,3903221969
62,62,,Wiktor,Kreiss,
63,63,,Kazimierz,Glabisz,
64,64,,Łucjan,Szwajkowski,
65,65,Emanuel Bianchi z o.o.,Emanuel,Bianchi,2712964206
66,66,,Marcin,Mniszek,
67,67,Teofil Ćwiertniak z o.o.,Teofil,Ćwiertniak,6131669887
68,68,,Ksawery,Sendorek,
69,69,,Paweł,Serednicki,
70,70,,Osman,Kierkowski,
71,71,Bolesław Polakowski z o.o.,Bolesław,Polakowski,4447242467
72,72,Feliks Buchowiecki z o.o.,Feliks,Buchowiecki,4254476781
73,73,,Otton,Urbanek,
74,74,,Roman,Barcikowski,
75,75,,Artur,Rómmel,
76,76,Norbert Werschner z o.o.,Norbert,Werschner,2515299607
77,77,Rafał Kiszkowski z o.o.,Rafał,Kiszkowski,3300897482
78,78,,Michał,Burczak,
79,79,Karol Myszkowski z o.o.,Karol,Myszkowski,9738660139
80,80,,Rudolf,Toruń,
81,81,Edwin Litwinowicz z o.o.,Edwin,Litwinowicz,7201430610
82,82,,Emanuel,Łączyński,
83,83,Leopold Len z o.o.,Leopold,Len,7850261642
84,84,,Erazm,Kiszkowski,
85,85,Eugeniusz Kanaś z o.o.,Eugeniusz,Kanaś,8706430926
86,86,Mikołaj Waśkiewicz z o.o.,Mikołaj,Waśkiewicz,8664467712
87,87,Walerian Waśkiewicz z o.o.,Walerian,Waśkiewicz,4799118391
88,88,,Jerzy,Białek,
89,89,Ernest Jung z o.o.,Ernest,Jung,5718648988
90,90,,Xawery,Gryczman,
91,91,Maksymilian Langrod z o.o.,Maksymilian,Langrod,9692755715
92,92,,Rudolf,Gąsiorowski,
93,93,,Leon,Drozdowski,
94,94,Stefan Englisch z o.o.,Stefan,Englisch,9420696701
95,95,,Feliks,Pikulski,
96,96,,Janusz,Kamiński,
97,97,,Maria,Piltz,
98,98,,Stefan,Błotnicki,
99,99,Anastazy Ciechanowski z o.o.,Anastazy,Ciechanowski,3650069550
100,100,Marcin Englert z o.o.,Marcin,Englert,8364502034
101,101,,Antoni,Ćwikliński,
102,102,Karol Trzasko-Durski z o.o.,Karol,Trzasko-Durski,6719193245
103,103,,Michał,Quirini,
104,104,,Kornel,Bałłaban,
105,105,,Walerian,Panek,
106,106,,Herman,Ostafin,
107,107,,Adam,Papara,
108,108,Czesław Kosianowski z o.o.,Czesław,Kosianowski,3619150811
109,109,,Emil,Zagrodzki,
110,110,Władysław Handelsman z o.o.,Władysław,Handelsman,1717769649
111,111,Herman But z o.o.,Herman,But,4103937318
112,112,,Piotr,Chojnowski,
113,113,,Witold,Cegielski,
114,114,,Alojzy,Grudzień,
115,115,Eugeniusz Mozdyniewicz z o.o.,Eugeniusz,Mozdyniewicz,2927865892
116,116,,Erazm,Romiszewski,
117,117,,Bohdan,Ciemnołoński,
118,118,Wilhelm Taczak z o.o.,Wilhelm,Taczak,9464110818
119,119,,Plato,Pikulski,
120,120,Mikołaj Ginalski z o.o.,Mikołaj,Ginalski,2068111725
121,121,,Marceli,Biernat,
122,122,,Franciszek,Zachert-Okrzanowski,
123,123,,Henryk,Buczek,
124,124,,Marcin,Zimmer,
125,125,Lesław Ziemblic z o.o.,Lesław,Ziemblic,9816003283
126,126,,Bolesław,Solski,
127,127,,Hugo,Bogaczewicz,
128,128,,Norbert,Skierczyński,
129,129,,Włodzimierz,Boczek,
130,130,Rajmund Krzysik z o.o.,Rajmund,Krzysik,3103597882
131,131,,Marek,Dublasiewicz,
132,132,,Sergiusz,Meÿer,
133,133,,Emanuel,Szablewski,
134,134,,Józef,Nadachowski,
135,135,,Bruno,Ralski,
136,136,,Sergiusz,Waśkiewicz,
137,137,,Szymon,Bratro,
138,138,Tytus Witczak-Witaczyński z o.o.,Tytus,Witczak-Witaczyński,8030978151
139,139,Franciszek Wójcik z o.o.,Franciszek,Wójcik,1437529874
140,140,,Jarosław,Dorantt,
141,141,,Alfred,Mijakowski,
142,142,,Euzebiusz,Ryziński,
143,143,Alfred Jełowicki z o.o.,Alfred,Jełowicki,6862997437
144,144,,Kazimierz,Laskowski,
145,145,,Rafał,Wrześniowski,
146,146,Walery Berbecki z o.o.,Walery,Berbecki,3869108707
147,147,,Maria,Winicki,
148,148,Olgierd Korab-Janiewicz z o.o.,Olgierd,Korab-Janiewicz,6281231186
149,149,Erwin Jankowski z o.o.,Erwin,Jankowski,6317535774
150,150,,Marcin,Gościewicz,
151,151,,Marceli,Blew,
152,152,Bolesław Adamski z o.o.,Bolesław,Adamski,2810832049
153,153,Osman Samójłowicz-Salamonowicz z o.o.,Osman,Samójłowicz-Salamonowicz,5347841760
154,154,,Ludwik,Skąpski,
155,155,,Apolinary,Lisowski,
156,156,,Walery,Gumowski,
157,157,Feliks Loth z o.o.,Feliks,Loth,1399123640
158,158,Witold Rachmistruk z o.o.,Witold,Rachmistruk,3110814214
159,159,Erwin Zych z o.o.,Erwin,Zych,6909422112
160,160,Kazimierz Piękoś z o.o.,Kazimierz,Piękoś,6003681938
161,161,,Ottokar,Unrug,
162,162,,Wiktor,Pileski,
163,163,Fuad Kalkus z o.o.,Fuad,Kalkus,6805140670
164,164,Zdzisław Przeździecki z o.o.,Zdzisław,Przeździecki,4048073169
165,165,,Brunon,Myśliński,
166,166,,Janusz,Andrzejewski,
167,167,,Lucjan,Drwota,
168,168,,Jędrzej,Witwicki,
169,169,Olgierd Rakowski z o.o.,Olgierd,Rakowski,8903878596
170,170,,Edwin,Hauser,
171,171,,Cezary,Świętochowski,
172,172,Alfons Borkowski z o.o.,Alfons,Borkowski,7873523844
173,173,,Bernard,Weyde,
174,174,,Jan,Niewęgłowski,
175,175,,Konrad,Lachowicz,
176,176,Cezary Tunguz-Zawiślak z o.o.,Cezary,Tunguz-Zawiślak,1138446475
177,177,Rudolf Warmuzek z o.o.,Rudolf,Warmuzek,2053945054
178,178,Wilhelm Tumielewicz z o.o.,Wilhelm,Tumielewicz,6257447593
179,179,Szczęsny Chadaj z o.o.,Szczęsny,Chadaj,6804972487
180,180,,Emanuel,Bogdziewicz,
181,181,,Mikołaj,Palczyński,
182,182,,Olgierd,Rzepecki,
183,183,,Feliks,Pikulski,
184,184,Zdzisław Jurecki z o.o.,Zdzisław,Jurecki,3329799290
185,185,Cezary Choma z o.o.,Cezary,Choma,8282174550
186,186,,Jarosław,Krywko,
187,187,Justyn Zawadzki z o.o.,Justyn,Zawadzki,2826191800
188,188,,Wojciech,Matz,
189,189,,Hipolit,Władyka,
190,190,Osman Piskorski z o.o.,Osman,Piskorski,9696383451
191,191,Eugeniusz Rodzeń z o.o.,Eugeniusz,Rodzeń,2983966979
192,192,,Bolesław,Okulski,
193,193,Wacław Galos z o.o.,Wacław,Galos,3150907788
194,194,,Szczęsny,Szczerba,
195,195,Lesław Korab-Janiewicz z o.o.,Lesław,Korab-Janiewicz,7903839550
196,196,,Edward,Bykowski-Jaxa,
197,197,Feliks Socha z o.o.,Feliks,Socha,7198664549
198,198,Ludomił Tumidajski z o.o.,Ludomił,Tumidajski,7039268072
199,199,,Juliusz,Grodzki,
200,200,Rudolf Baraniecki z o.o.,Rudolf,Baraniecki,7165729695
201,201,Adolf Raypert z o.o.,Adolf,Raypert,7103777026
202,202,,Ludomił,Szumański,
203,203,Karol Ostafin z o.o.,Karol,Ostafin,3649494362
204,204,Jędrzej Zbyszewski z o.o.,Jędrzej,Zbyszewski,7879303743
205,205,,Justyn,Paszkiewicz,
206,206,,Antoni,Chełmecki,
207,207,,Emilian,Ciosański,
208,208,,Anastazy,Miś,
209,209,,Zbigniew,Banasiński,
210,210,Emilian Janowski z o.o.,Emilian,Janowski,3798140145
211,211,,Konstanty,Żołędziowski,
212,212,,Maria,Ruchaj,
213,213,,Brunon,Kwaskowski,
214,214,,Jakub,Wędziagolski,
215,215,,Melchior,Gromnicki,
216,216,,Alfred,Kleeberg,
217,217,Szymon Łuczak z o.o.,Szymon,Łuczak,2507961990
218,218,,Jan,Babiarz,
219,219,Rudolf Unrug z o.o.,Rudolf,Unrug,9100146031
220,220,Chrystian Waligórski z o.o.,Chrystian,Waligórski,2660941737
221,221,,Ferdynand,Kretowicz,
222,222,,Adam,Buchta,
223,223,,Adolf,Cibicki,
