id,miasto,kod_pocztowy,ulica,nr_budynku,nr_lokalu
1,Barbarówka,17-491,Tradycji,768,
2,Laskowizna,56-784,Zlota,126,
3,Barchnowy,21-654,Cicha,1,23
4,Balcarzowice,21-850,Fiolkow,731,
5,Barce,26-370,Spoldzielcza,775,53
6,Baranów,67-430,Biwakowa,776,57
7,Baldram,77-929,Liliowa,994,
8,Adamczycha,22-630,Zwirowa,304,
9,Krzemykowo,82-632,Strumykowa,470,5
10,Balczewo,85-521,Tulipanow,276,
11,Bania,98-290,Rzepakowa,407,35
12,Leszczyny,86-532,Mlodosci,586,65
13,Kupin,36-209,Wisniowa,667,21
14,Antoninek,52-705,Makow,855,
15,Bagienko,89-193,Mlynska,347,
16,Kupienino,51-521,Plowce,80,37
17,Krakowiany,87-742,Zielona,406,
18,Lubczyna,17-809,Zbozowa,533,16
19,Lasek,24-822,Nasturcji,639,62
20,Leszczynek,88-167,Liliowa,225,
21,Bakaniuk,80-782,Koronkowa,984,82
22,Bajdyty,27-723,Dobra,364,
23,Leszczynka,50-981,Wierzbowa,956,
24,Banaszki,79-385,Irysow,913,73
25,Barany,52-479,Ulanska,266,87
26,Barciszewo,76-739,Slupska,354,90
27,Rogierówko,60-295,Solecka,40,
28,Antoniki,75-245,Zorzy,994,55
29,Grabianka,47-242,Krokusow,889,
30,Laliny,22-505,Szpitalna,879,26
31,Kuplisk,15-984,Spoldzielcza,760,66
32,Bajdyty,74-295,Skowronkow,106,
33,Balcerów,39-753,Polna,562,26
34,Bajdyty,34-367,Wisniowa,631,77
35,Krapkowice,41-756,Zlota,337,
36,Balków,81-887,Niezapominajek,142,
37,Rogawica,33-191,Swiatowida,829,
38,Baczki,82-780,Swierkowa,536,70
39,Kranek,39-592,Pancerniakow,537,
40,Lubcza,37-906,Brzozowa,49,
41,Antomieszki,97-254,Rozana,912,74
42,Adamierz,65-526,Deszczowa,943,
43,Barcice,37-455,Szkolna,422,
44,Antoniów,64-189,Brzozowa,641,
45,Adamczycha,37-732,Wrzosow,890,40
46,Kupno,55-373,Golebia,340,
47,Kramarka,43-951,Grodzka,77,
48,Laskowizna,53-644,Wrzosow,64,
49,Bagatele,81-838,Limbowa,166,86
50,Antoniewice,18-618,Morska,435,7
51,Kupiatycze,18-458,Brzozowa,765,
52,Bachorza,30-929,Szeroka,392,
53,Krakulice,57-280,Torfowa,243,
54,Baciuty,80-665,Slowianska,826,
55,Rogienice,20-619,Jasminowa,822,
56,Bandrów,35-939,Akacjowa,2,92
57,Krakulice,50-668,Slowianska,654,
58,Lasek,17-694,Szyprow,33,
59,Grabianowo,23-350,Nagietkow,149,
60,Antolka,13-222,Bliska,885,
61,Bagny,46-842,Fiolkow,252,
62,Barcin,27-234,Zlotych Klosow,112,
63,Rogi,85-896,Bzow,375,
64,Barany,81-882,Zefirowa,105,85
65,Baranówka,82-831,Polnocna,384,
66,Bajdyty,49-671,Krakowska,13,28
67,Kupowo,99-871,Wrzesniowa,495,8
68,Kramarzówka,21-778,Boczna,225,6
69,Gorzuchów,61-901,Gerberowa,534,
70,Lamkowo,61-277,Szafirkow,897,97
71,Banino,77-966,Gozdzikow,19,
72,Antonowo,38-254,Olchowa,87,
73,Krzepiszyn,80-670,Nasturcji,474,
74,Leszkiemie,42-426,Poziomkowa,980,93
75,Lamkowo,84-850,Letnia,766,
76,Leszczyniec,58-157,Bajkowa,366,35
77,Antolka,22-239,Leszczynowa,14,
78,Banie,38-762,Przyjazni,316,
79,Gorzykowo,23-173,Pigwowa,893,
80,Balewko,81-526,Malinowa,654,32
81,Achrymowce,82-955,Golebia,132,22
82,Godziszów,44-462,Przepiorek,865,
83,Rogaszyce,20-147,Wichrowa,830,
84,Krzepczów,26-594,Zurawia,417,40
85,Lubianka,82-728,Malownicza,525,78
86,Baczków,81-556,Glogowa,602,
87,Gorzyce,33-469,Stokrotek,611,
88,Kuranów,51-138,Widokowa,344,
89,Ladeniska,46-153,Truskawkowa,255,75
90,Bachlawa,77-502,Palmowa,918,62
91,Lubenia,23-677,Malownicza,730,61
92,Laskowice,92-470,Teczy,701,
93,Bacze,98-550,Ulanska,549,38
94,Lalkowy,48-299,Zbozowa,960,
95,Lafajetowo,71-251,Sloneczna,757,81
96,Bachorzew,43-881,Prosta,462,19
97,Bakaniuk,12-107,Spokojna,193,
98,Lamk,39-391,Pogodna,803,
99,Gorzupia,22-187,Grodzka,395,
100,Bachus,20-639,Modrzewiowa,581,23
101,Barak,95-701,Cedrowa,627,49
102,Leszczyny,32-342,Nagietkow,644,
103,Kramsk,37-467,Szeroka,559,44
104,Antoniewo,24-875,Sliwkowa,346,
105,Lubatówka,89-641,Truskawkowa,779,
106,Lubaszcz,55-806,Rybacka,684,23
107,Kupienin,49-305,Kalinowa,897,2
108,Bajkowizna,51-798,Przepiorek,102,
109,Rogalin,92-470,Niezapominajek,109,
