id,adres_id,nazwa,imie,nazwisko,nip
1,1,,Marek,Poznański,
2,2,Roman Szewalski z o.o.,Roman,Szewalski,9221509186
3,3,,Sergiusz,Brzeziński-Dunin,
4,4,,Anastazy,Skrzydlewski,
5,5,,Teofil,Beck,
6,6,,Albert,Nowak,
7,7,,Konrad,Cząstka,
8,8,Witold Kęsicki z o.o.,Witold,Kęsicki,1312623632
9,9,Emilian Oskierka-Kramarczyk z o.o.,Emilian,Oskierka-Kramarczyk,8190273596
10,10,,Jakub,Zawiślański,
11,11,,Bronisław,Belof,
12,12,Alojzy Kochański z o.o.,Alojzy,Kochański,9381132731
13,13,Jan Lechnicki z o.o.,Jan,Lechnicki,3006626517
14,14,Bernard Zachorowski z o.o.,Bernard,Zachorowski,8599711344
15,15,Wiktor Jankowski z o.o.,Wiktor,Jankowski,6616513006
16,16,Feliks Widacki z o.o.,Feliks,Widacki,1684418390
17,17,,Melchior,Karśnicki,
18,18,Włodzimierz Zawisza z o.o.,Włodzimierz,Zawisza,4209433699
19,19,Romuald Bartoszyński z o.o.,Romuald,Bartoszyński,1937423256
20,20,,Ryszard,Sarnowicz,
21,21,Gabriel Biały z o.o.,Gabriel,Biały,5609625208
22,22,Ferdynand Robakiewicz z o.o.,Ferdynand,Robakiewicz,7500822604
23,23,,Walerian,Bejnar,
24,24,,Emanuel,Jarzębiński,
25,25,,Wincenty,Raypert,
26,26,Tytus Wiliński z o.o.,Tytus,Wiliński,5139941534
27,27,,Antoni,Maćkowski,
28,28,Leon Hubicki z o.o.,Leon,Hubicki,8752211834
29,29,Ernest Calewski z o.o.,Ernest,Calewski,4419597319
30,30,Lesław Schwarzenberg-Czerny z o.o.,Lesław,Schwarzenberg-Czerny,8298996163
31,31,,Hugo,Bieńkowski,
32,32,,Mieczysław,Stępkowski,
33,33,,Ludwik,Poznański,
34,34,,Feliks,Baruch,
35,35,Cezary Donimirski z o.o.,Cezary,Donimirski,1588986650
36,36,Wiesław Kopański z o.o.,Wiesław,Kopański,9544991587
37,37,,Jan,Baranowicz,
38,38,Kornel Szklarek z o.o.,Kornel,Szklarek,6279557193
39,39,,Stefan,Knapp,
40,40,,Gustaw,Błędzki,
41,41,Maksymilian Ciechanowski z o.o.,Maksymilian,Ciechanowski,2930830733
42,42,,Medard,Nowakowski,
43,43,,Herman,Kraupa,
44,44,,Czesław,Duch,
45,45,,Teodor,Krzyczkowski,
46,46,Tytus Samójłowicz-Salamonowicz z o.o.,Tytus,Samójłowicz-Salamonowicz,6662496810
47,47,,Leszek,Lachowicz,
48,48,,Hipolit,Supniewski,
49,49,,Ludwik,Chendyński,
50,50,,Gwidon,Szafran,
51,51,,Ottokar,Ekert,
52,52,,Michał,Mrowec,
53,53,,Marceli,Gromnicki,
54,54,,Apolinary,Zaremba,
55,55,Plato Krogulski z o.o.,Plato,Krogulski,5582216726
56,56,Cezary Wójcik z o.o.,Cezary,Wójcik,8144711434
57,57,,Ludwik,Buchowiecki,
58,58,Edwin Merwin z o.o.,Edwin,Merwin,3957087168
59,59,,Xawery,Sikorski,
60,60,Antoni Jastrzębski z o.o.,Antoni,Jastrzębski,2551920877
61,61,,Marian,Wańkowicz,
62,62,Jerzy Czaykowski z o.o.,Jerzy,Czaykowski,5367358643
63,63,Bohdan Białek z o.o.,Bohdan,Białek,7620506691
64,64,,Leon,Władyka,
